spot,time,occupied,occID
38,10:00 AM,SN3,50
38,11:00 AM,SN3,50
38,12:00 PM,SN3,50
38,1:00 PM,SN3,50
38,2:00 PM,SN3,50
38,3:00 PM,SN3,50
38,4:00 PM,SN3,50
38,5:00 PM,SN3,50
38,6:00 PM,,1
38,7:00 PM,,1
38,8:00 PM,,1
39,6:00 AM,9DP,50
39,7:00 AM,9DP,50
39,8:00 AM,9DP,50
39,9:00 AM,9DP,50
39,10:00 AM,9DP,50
39,11:00 AM,9DP,50
39,12:00 PM,9DP,50
39,1:00 PM,9DP,50
39,2:00 PM,9DP,50
39,3:00 PM,1TS,50
39,4:00 PM,1TS,50
39,5:00 PM,1TS,50
39,6:00 PM,1TS,50
39,7:00 PM,1TS,50
39,8:00 PM,,1
40,6:00 AM,1NR,50
40,7:00 AM,1NR,50
40,8:00 AM,1NR,50
40,9:00 AM,1NR,50
40,10:00 AM,1NR,50
40,11:00 AM,ITS,50
40,12:00 PM,8WC,50
40,1:00 PM,Blocked,50
40,2:00 PM,Blocked,50
40,3:00 PM,Blocked,50
40,4:00 PM,Blocked,50
40,5:00 PM,,1
40,6:00 PM,,1
40,7:00 PM,,1
40,8:00 PM,,1
41,6:00 AM,,1
41,7:00 AM,,1
41,8:00 AM,,1
41,9:00 AM,,1
41,10:00 AM,,1
41,11:00 AM,Blocked,50
41,12:00 PM,Blocked,50
41,1:00 PM,8GW,50
41,2:00 PM,8GW,50
41,3:00 PM,,1
41,4:00 PM,2YD,50
41,5:00 PM,,1
41,6:00 PM,,1
41,7:00 PM,,1
41,8:00 PM,,1
42,6:00 AM,1DL,50
42,7:00 AM,1DL,50
42,8:00 AM,,1
42,9:00 AM,,1
42,10:00 AM,619,50
42,11:00 AM,619,50
42,12:00 PM,619,50
42,1:00 PM,619,50
42,2:00 PM,26B,50
42,3:00 PM,26B,50
42,4:00 PM,,1
42,5:00 PM,,1
42,6:00 PM,,1
42,7:00 PM,,1
42,8:00 PM,,1
43,6:00 AM,1VE,50
43,7:00 AM,1VE,50
43,8:00 AM,1VE,50
43,9:00 AM,1VE,50
43,10:00 AM,1VE,50
43,11:00 AM,1VE,50
43,12:00 PM,1VE,50
43,1:00 PM,1VE,50
43,2:00 PM,1VE,50
43,3:00 PM,1VE,50
43,4:00 PM,,1
43,5:00 PM,,1
43,6:00 PM,7XP,50
43,7:00 PM,,1
43,8:00 PM,72A,50
44,6:00 AM,CKI,50
44,7:00 AM,,1
44,8:00 AM,3JF,50
44,9:00 AM,3JF,50
44,10:00 AM,3JF,50
44,11:00 AM,3JF,50
44,12:00 PM,3JF,50
44,1:00 PM,3JF,50
44,2:00 PM,3JF,50
44,3:00 PM,3JF,50
44,4:00 PM,3JF,50
44,5:00 PM,3JF,50
44,6:00 PM,3JF,50
44,7:00 PM,9CG,50
44,8:00 PM,9CG,50
45,6:00 AM,1HX,50
45,7:00 AM,1HX,50
45,8:00 AM,1HX,50
45,9:00 AM,1HX,50
45,10:00 AM,1HX,50
45,11:00 AM,1HX,50
45,12:00 PM,1HX,50
45,1:00 PM,1HX,50
45,2:00 PM,1HX,50
45,3:00 PM,1HX,50
45,4:00 PM,1HX,50
45,5:00 PM,1HX,50
45,6:00 PM,1HX,50
45,7:00 PM,1HX,50
45,8:00 PM,1HX,50
46,6:00 AM,,1
46,7:00 AM,5CP,50
46,8:00 AM,5CP,50
46,9:00 AM,5CP,50
46,10:00 AM,5CP,50
46,11:00 AM,IRC,50
46,12:00 PM,IRC,50
46,1:00 PM,IRC,50
46,2:00 PM,,1
46,3:00 PM,,1
46,4:00 PM,,1
46,5:00 PM,,1
46,6:00 PM,,1
46,7:00 PM,251,50
46,8:00 PM,,1
47,6:00 AM,3YK,50
47,7:00 AM,3YK,50
47,8:00 AM,3YK,50
47,9:00 AM,3YK,50
47,10:00 AM,IRL,50
47,11:00 AM,,1
47,12:00 PM,Blocked,50
47,1:00 PM,Blocked,50
47,2:00 PM,,1
47,3:00 PM,,1
47,4:00 PM,,1
47,5:00 PM,,1
47,6:00 PM,,1
47,7:00 PM,Blcoked,50
47,8:00 PM,,1
48,6:00 AM,,1
48,7:00 AM,1HV,50
48,8:00 AM,1HV,50
48,9:00 AM,1HV,50
48,10:00 AM,1HV,50
48,11:00 AM,3YK,50
48,12:00 PM,3YK,50
48,1:00 PM,3YK,50
48,2:00 PM,3YK,50
48,3:00 PM,3YK,50
48,4:00 PM,3YK,50
48,5:00 PM,3YK,50
48,6:00 PM,3YK,50
48,7:00 PM,3YK,50
48,8:00 PM,3YK,50
49,6:00 AM,,1
49,7:00 AM,,1
49,8:00 AM,,1
49,9:00 AM,,1
49,10:00 AM,,1
49,11:00 AM,ISG,50
49,12:00 PM,ISG,50
49,1:00 PM,ISG,50
49,2:00 PM,ISG,50
49,3:00 PM,,1
49,4:00 PM,,1
49,5:00 PM,,1
49,6:00 PM,,1
49,7:00 PM,,1
49,8:00 PM,,1
50,6:00 AM,5ML,50
50,7:00 AM,5ML,50
50,8:00 AM,5ML,50
50,9:00 AM,5ML,50
50,10:00 AM,5ML,50
50,11:00 AM,5ML,50
50,12:00 PM,5ML,50
50,1:00 PM,5ML,50
50,2:00 PM,5ML,50
50,3:00 PM,5ML,50
50,4:00 PM,5ML,50
50,5:00 PM,5ML,50
50,6:00 PM,,1
50,7:00 PM,1AH,50
50,8:00 PM,,1
51,6:00 AM,1HV,50
51,7:00 AM,1HV,50
51,8:00 AM,1HV,50
51,9:00 AM,1HV,50
51,10:00 AM,1HV,50
51,11:00 AM,1HV,50
51,12:00 PM,1HV,50
51,1:00 PM,1HV,50
51,2:00 PM,1HV,50
51,3:00 PM,1HV,50
51,4:00 PM,1HV,50
51,5:00 PM,1HV,50
51,6:00 PM,1HV,50
51,7:00 PM,1HV,50
51,8:00 PM,1HV,50
52,6:00 AM,9NX,50
52,7:00 AM,,1
52,8:00 AM,,1
52,9:00 AM,,1
52,10:00 AM,,1
52,11:00 AM,P62,50
52,12:00 PM,P62,50
52,1:00 PM,2HA,50
52,2:00 PM,2HA,50
52,3:00 PM,6SN,50
52,4:00 PM,6SN,50
52,5:00 PM,6SN,50
52,6:00 PM,6SN,50
52,7:00 PM,6SN,50
52,8:00 PM,6SN,50
53,6:00 AM,,1
53,7:00 AM,,1
53,8:00 AM,,1
53,9:00 AM,,1
53,10:00 AM,,1
53,11:00 AM,,1
53,12:00 PM,,1
53,1:00 PM,,1
53,2:00 PM,,1
53,3:00 PM,,1
53,4:00 PM,,1
53,5:00 PM,,1
53,6:00 PM,,1
53,7:00 PM,,1
53,8:00 PM,,1
54,6:00 AM,7JF,50
54,7:00 AM,7JF,50
54,8:00 AM,,1
54,9:00 AM,,1
54,10:00 AM,,1
54,11:00 AM,813,50
54,12:00 PM,813,50
